"STCode","CorrectId","CurrentDbId","IdChanged","LocationName"
"HW26","239","2598","Y","HABRA"
"HX10","240","2719","Y","KTH"
"HX12","241","2722","Y","UDHAMPUR"
"HX50","242","2567","Y","ICHALKARANJI"
"HK22","252","2536","Y","MYSORE-2"
"U106","253","2851","Y","KASGANJ"
"U101","254","2785","Y","LONI(INDRAPURI)"
"HD32","255","2689","Y","BUDH VIHAR"
"HX13","256","2725","Y","JANIPUR"
"HX14","257","2720","Y","KUNJWANI"
"HB58","258","2893","Y","JAINAGAR"
"HH14","259","2711","Y","ROHTAK-(TN)"
"U104","262","2779","Y","SHAHJAHANPUR"
"HP05","264","2750","Y","ZIRAKPUR"
"HB57","265","2936","Y","SIWAN-2"
"HS02","266","2557","Y","VIZIANAGARAM"
"HA11","269","2637","Y","PASIGHAT"
"HB46","270","2896","Y","SAMASTIPUR(NR OLD V2)"
"HB60","272","2875","Y","MADHEPURA"
"HG12","273","2570","Y","MARGAON"
"HG13","274","2561","Y","SOUTH GOA(DABOLIM)"
"HJ26","275","2958","Y","DHANBAD(SUSNILEWA)"
"HK23","276","2553","Y","BALLARY-INFANTRY-RD"
"HM34","278","3032","Y","BHOPAL (MANDIDEEP)"
"HM40","279","2902","Y","BHOPAL"
"HN31","280","2640","Y","KARIMGANJ"
"HN35","282","2645","Y","HOJAI"
"HN36","283","2671","Y","NAGAON"
"HN37","284","2646","Y","GUWAHATI (KALAPAHAR)"
"HN38","285","2659","Y","KOKRAJHAR"
"HN40","286","2663","Y","GOALPARA"
"HN41","287","2647","Y","GUWAHATI (BELTOLA)"
"HN60","288","2675","Y","DIMAPUR"
"HO21","289","2627","Y","SNDRGH"
"HO37","293","2610","Y","BOUDH"
"HO41","294","2609","Y","NAYAGARH(NEAR SNV)"
"HO42","295","2620","Y","CTK-2"
"HP04","296","2732","Y","LUDHIANA"
"HT22","299","2697","Y","RUDRAPUR"
"HU87","302","3071","Y","FARUKHABAD"
"HU89","303","2847","Y","BAREILLY (CIVIL LINES)"
"HU94","304","2768","Y","DEORIA"
"HU96","305","2857","Y","LUCKNOW (ASHIYANA)"
"HU98","306","2800","Y","HATHRAS"
"HU99","307","2790","Y","AGRA- SIKANDRA (LOHA MANDI)"
"HW23","309","3076","Y","NSOL-2"
"HW27","310","2595","Y","BASIRHAT"
"HX11","311","2718","Y","JAMMU"
"RH01","313","3081","Y","HO-NEW"
"U100","316","2789","Y","AGRA- SANJAY PLACE"
"U102","317","2772","Y","BELA PRATAPGARH"
"U103","318","2786","Y","NOIDA (OMAXE MALL)"
"U105","319","2793","Y","ALIGARH"
"U109","320","2859","Y","SAHARANPUR"
"U110","321","3084","Y","KANPUR AMBEDKARPURAM"
"V2S","324","3085","Y","V2S"
"MISS","325","3086","Y","MISSING"
"U107","326","2759","Y","ALLAHBAD(NAINI)"
"RH02","328","3087","Y","Central"
"U111","337","2791","Y","MEERUT"
